2025-06-13 01:19:19,040 INFO System Monitor: Starting system monitoring...
2025-06-13 01:19:19,050 INFO CPU: Usage: 25.0%
2025-06-13 01:19:19,051 INFO Memory: Usage: 83.7%
2025-06-13 01:19:21,363 INFO Software: PID: 9988, Name: opera.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,363 INFO Software: PID: 10024, Name: svchost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,364 INFO Software: PID: 10392, Name: Code.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,365 INFO Software: PID: 10564, Name: SearchHost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,365 INFO Software: PID: 10572, Name: StartMenuExperienceHost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,366 INFO Software: PID: 10892, Name: Widgets.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,366 INFO Software: PID: 10912, Name: opera.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,384 INFO Software: PID: 10920, Name: MicUsage.exe, Username: None
2025-06-13 01:19:21,386 INFO Software: PID: 10948, Name: RuntimeBroker.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,387 INFO Software: PID: 10976, Name: svchost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,387 INFO Software: PID: 11084, Name: RuntimeBroker.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,388 INFO Software: PID: 11252, Name: WidgetService.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,388 INFO Software: PID: 11392, Name: opera.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,388 INFO Software: PID: 11496, Name: msedgewebview2.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,389 INFO Software: PID: 11544, Name: msedgewebview2.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,389 INFO Software: PID: 11596, Name: ApplicationFrameHost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,390 INFO Software: PID: 11652, Name: msedgewebview2.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,390 INFO Software: PID: 11776, Name: AMDRSServ.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,391 INFO Software: PID: 12116, Name: msedgewebview2.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,391 INFO Software: PID: 12132, Name: msedgewebview2.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,393 INFO Software: PID: 12220, Name: msedgewebview2.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,393 INFO Software: PID: 12320, Name: ctfmon.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,395 INFO Software: PID: 12488, Name: LockApp.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,396 INFO Software: PID: 12536, Name: Code.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,412 INFO Software: PID: 12564, Name: svchost.exe, Username: None
2025-06-13 01:19:21,428 INFO Software: PID: 12876, Name: unsecapp.exe, Username: None
2025-06-13 01:19:21,429 INFO Software: PID: 12892, Name: RuntimeBroker.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,431 INFO Software: PID: 12900, Name: ePowerButton_NB.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,444 INFO Software: PID: 12920, Name: SearchIndexer.exe, Username: None
2025-06-13 01:19:21,445 INFO Software: PID: 13032, Name: CodeSetup-stable-dfaf44141ea9deb3b4096f7cd6d24e00c147a4b1.tmp, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,468 INFO Software: PID: 13052, Name: WmiPrvSE.exe, Username: None
2025-06-13 01:19:21,469 INFO Software: PID: 13128, Name: svchost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,486 INFO Software: PID: 13136, Name: NisSrv.exe, Username: None
2025-06-13 01:19:21,503 INFO Software: PID: 13168, Name: svchost.exe, Username: None
2025-06-13 01:19:21,504 INFO Software: PID: 13208, Name: Discord.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,504 INFO Software: PID: 13244, Name: UniKeyNT.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,504 INFO Software: PID: 13500, Name: chrome.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,519 INFO Software: PID: 13580, Name: svchost.exe, Username: None
2025-06-13 01:19:21,520 INFO Software: PID: 13644, Name: Code.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,523 INFO Software: PID: 13672, Name: TextInputHost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,523 INFO Software: PID: 13740, Name: WebexHost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,523 INFO Software: PID: 13804, Name: chrome.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,524 INFO Software: PID: 14232, Name: RtkAudUService64.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,524 INFO Software: PID: 14248, Name: LiveUpdateChecker.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,524 INFO Software: PID: 14396, Name: opera.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,544 INFO Software: PID: 14428, Name: svchost.exe, Username: None
2025-06-13 01:19:21,545 INFO Software: PID: 14440, Name: Code.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,546 INFO Software: PID: 14492, Name: EdgeGameAssist.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,546 INFO Software: PID: 14576, Name: Canva.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,546 INFO Software: PID: 14580, Name: conhost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,547 INFO Software: PID: 14656, Name: Code.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,547 INFO Software: PID: 14696, Name: HostAppServiceUpdater.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,563 INFO Software: PID: 14980, Name: svchost.exe, Username: None
2025-06-13 01:19:21,579 INFO Software: PID: 15012, Name: sqlceip.exe, Username: None
2025-06-13 01:19:21,596 INFO Software: PID: 15144, Name: svchost.exe, Username: None
2025-06-13 01:19:21,613 INFO Software: PID: 15212, Name: sqlservr.exe, Username: None
2025-06-13 01:19:21,628 INFO Software: PID: 15368, Name: svchost.exe, Username: None
2025-06-13 01:19:21,643 INFO Software: PID: 15520, Name: svchost.exe, Username: None
2025-06-13 01:19:21,644 INFO Software: PID: 15748, Name: Discord.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,645 INFO Software: PID: 16036, Name: Discord.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,646 INFO Software: PID: 16156, Name: opera.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,647 INFO Software: PID: 16544, Name: ZaloCap.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,648 INFO Software: PID: 16676, Name: chrome.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,650 INFO Software: PID: 16720, Name: Code.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,654 INFO Software: PID: 16788, Name: Zalo.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,654 INFO Software: PID: 17128, Name: opera.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,656 INFO Software: PID: 17140, Name: chrome.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,657 INFO Software: PID: 17236, Name: chrome.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,657 INFO Software: PID: 17324, Name: bash.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,676 INFO Software: PID: 17440, Name: svchost.exe, Username: None
2025-06-13 01:19:21,677 INFO Software: PID: 17496, Name: Code.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,678 INFO Software: PID: 17560, Name: Zalo.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,680 INFO Software: PID: 17584, Name: Code.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,681 INFO Software: PID: 17644, Name: msedge.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,683 INFO Software: PID: 17648, Name: ShellHost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,684 INFO Software: PID: 17656, Name: Zalo.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,684 INFO Software: PID: 17692, Name: Code.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,686 INFO Software: PID: 17936, Name: svchost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,686 INFO Software: PID: 17956, Name: opera.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,687 INFO Software: PID: 17968, Name: Code.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,689 INFO Software: PID: 17984, Name: bash.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,690 INFO Software: PID: 18012, Name: chrome.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,707 INFO Software: PID: 18040, Name: svchost.exe, Username: None
2025-06-13 01:19:21,708 INFO Software: PID: 18088, Name: Zalo.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,710 INFO Software: PID: 18264, Name: bash.exe, Username: LAPTOP-6IDCVRKE\Admin
